0.98	0.12	3.54
1.53	0.06	3.23
1.89	-0.06	2.81
1.83	-0.37	2.38
1.89	-0.79	1.95
1.71	-1.46	1.83
0.73	-2.20	2.20
-0.79	-2.99	3.17
-1.71	-3.48	4.21
-1.83	-3.72	4.94
-1.77	-4.09	5.07
-0.06	-4.46	3.91
4.33	-4.52	0.61
8.00	-4.39	-3.91
7.93	-4.58	-7.75
5.43	-5.74	-10.56
3.17	-8.54	-13.98
1.16	-13.73	-19.65
-2.26	-20.69	-27.28
-7.69	-28.38	-35.58
-13.00	-36.99	-43.58
-16.78	-47.73	-51.21
-19.65	-57.92	-57.80
-13.73	-56.09	-59.88
-1.10	-41.99	-54.50
18.62	-22.58	-49.32
42.97	-3.48	-45.78
69.82	11.84	-41.50
97.90	24.60	-34.91
124.39	38.02	-27.89
144.65	52.37	-21.97
155.70	65.19	-16.78
158.63	74.22	-10.99
156.25	78.86	-4.21
149.60	79.65	3.97
141.24	78.31	13.00
133.85	75.56	21.79
126.83	70.50	30.27
119.63	63.23	39.37
113.40	55.42	49.26
107.67	48.95	59.39
98.75	44.43	68.42
66.71	38.33	75.62
41.38	33.87	72.33
11.35	26.61	67.02
-21.48	17.82	63.90
-56.40	9.22	64.39
-92.83	0.37	67.50
-130.62	-9.52	72.51
-166.87	-19.71	78.31
-216.49	-39.00	85.94
-246.09	-57.50	82.82
-288.09	-75.99	70.31
-309.02	-84.90	62.93
-326.90	-92.65	57.19
-338.93	-98.63	54.69
-343.87	-102.78	56.58
-339.90	-103.88	60.91
-323.61	-100.34	62.19
-295.10	-93.44	56.52
-267.21	-86.98	45.84
-251.16	-82.82	34.61
-235.90	-78.67	20.57
-226.14	-78.00	19.29
-215.27	-77.03	22.40
-209.35	-74.10	28.50
-211.06	-69.09	34.79
-214.60	-62.13	37.48
-206.54	-54.02	34.30
-181.40	-46.33	27.77
-150.09	-38.39	20.63
-127.87	-30.33	14.16
-117.55	-22.95	9.46
-108.15	-17.15	7.02
-82.34	-12.15	8.18
-72.88	-19.47	8.97
-55.05	-26.79	2.93
-58.17	-22.34	3.42
-63.60	-22.03	6.53
-65.61	-26.00	10.25
-67.50	-28.02	14.22
-69.09	-26.00	17.58
-64.33	-23.07	19.29
-53.53	-21.79	18.68
-44.80	-21.67	16.72
-41.38	-21.24	15.14
-39.67	-20.39	14.65
-36.19	-19.96	15.08
-31.37	-20.14	15.69
-27.65	-20.87	15.99
-25.45	-21.73	15.93
-23.56	-21.79	15.87
-21.06	-20.20	16.36
-16.78	-16.91	17.27
-7.14	-13.12	17.46
10.01	-9.95	15.56
32.84	-7.39	11.23
79.71	-2.75	-1.83
102.42	-0.12	-8.91
123.54	3.48	-14.65
141.78	7.93	-17.64
158.75	11.84	-18.37
177.86	14.95	-18.80
203.19	18.80	-19.96
234.80	23.62	-20.87
271.00	27.10	-21.48
307.62	27.53	-22.03
332.58	25.88	-22.46
338.50	25.15	-23.07
323.97	27.83	-24.17
261.23	41.44	-21.85
227.36	47.73	-18.49
173.10	58.53	-15.32
140.69	62.44	-15.62
127.44	49.74	-15.93
109.19	42.11	-10.86
86.43	36.19	-3.72
67.32	33.51	1.59
51.94	32.35	4.15
35.46	30.70	6.84
21.36	31.74	10.19
15.62	36.62	9.52
15.62	39.73	3.05
10.01	31.62	-6.96
2.14	29.42	-5.31
-19.78	23.44	-1.34
-27.40	19.29	0.67
-30.82	14.89	2.56
-31.80	9.77	4.64
-31.86	1.65	7.32
-30.15	-5.74	9.64
-26.86	-8.06	10.07
-19.71	-7.75	8.18
-9.34	-7.45	4.94
4.82	-1.89	-2.08
4.88	2.81	-6.65
0.43	-0.49	-5.37
-8.06	-6.04	-1.22
-8.85	-6.77	-0.85
-7.45	-7.45	-1.46
-6.47	-8.61	-1.77
-6.65	-8.73	-0.85
-6.47	-6.16	0.55
-4.64	-2.44	0.79
-0.37	-1.46	-1.83
-0.18	-5.49	-5.07
