participant,stitch_type,sequence_id,duration,yaw_range,pitch_range,roll_range,max_yaw_speed,max_pitch_speed,max_roll_speed,avg_yaw_speed,avg_pitch_speed,avg_roll_speed,yaw_direction_changes,pitch_direction_changes,roll_direction_changes,yaw_complexity,pitch_complexity,roll_complexity
sc,sc,22,2546.218487394958,1051.81,368.59000000000003,216.79999999999998,182.31,31.79500000000001,32.475,18.274735973597362,6.833184818481843,4.23075907590759,10,11,13,10,11,10
sc,sc,23,2495.7983193277314,910.9499999999999,331.54,280.64,76.47500000000001,45.379999999999995,32.775,17.51047138047137,6.733888888888892,4.903030303030306,7,9,11,8,3,5
sc,sc,24,3126.0504201680674,899.78,373.35,259.4,146.18,50.13999999999999,35.92,17.05454301075268,6.690793010752689,4.453266129032257,13,16,17,13,6,15
sc,sc,25,6235.2941176470595,698.9200000000001,331.48,364.93,63.35500000000002,39.765,41.32,11.922823450134784,6.924905660377354,7.911455525606463,33,65,45,20,19,21
sc,sc,26,6924.36974789916,698.49,219.54000000000002,317.14,75.92999999999999,25.21,67.14,9.972257281553402,4.184951456310677,6.170734223300969,48,92,42,17,25,21
sc,sc,27,2596.638655462185,887.21,363.95,266.9,124.785,36.195,47.05999999999999,16.492119741100332,6.259110032362461,4.740631067961166,15,14,16,9,9,9
sc,sc,28,2462.18487394958,917.24,302.12,275.21,146.885,37.475,42.47999999999999,15.565238907849826,5.921348122866893,4.4404436860068275,7,6,12,9,8,7
sc,sc,29,2445.378151260504,1010.99,394.84000000000003,231.14000000000004,95.975,40.709999999999994,27.590000000000003,18.481134020618555,8.045876288659791,4.765326460481101,9,12,11,11,10,8
sc,sc,30,2563.025210084034,981.08,398.69,239.62,122.83000000000001,39.12499999999999,23.224999999999998,19.121131147540975,7.372098360655738,4.830360655737706,10,13,16,9,10,9
sc,sc,31,3294.117647058824,503.66999999999996,219.29999999999998,160.53,41.565,29.050000000000004,23.775,10.305306122448972,5.0437244897959195,3.363826530612245,6,7,12,11,8,6
sc,sc,32,3638.655462184874,1421.38,623.8399999999999,249.75,179.59500000000003,128.475,76.47999999999999,25.26936489607392,11.406143187066975,5.605658198614321,28,23,39,12,10,11
sc,sc,33,2327.731092436975,1406.98,685.1800000000001,278.08,268.21999999999997,91.215,57.864999999999995,35.137960288808664,16.90539711191336,7.229386281588447,12,12,24,11,5,7
sc,sc,34,1478.9915966386554,1499.1999999999998,647.34,218.69,252.71499999999997,100.185,41.565,34.23857954545454,15.477528409090915,6.341875000000003,3,6,20,7,6,4
sc,sc,35,2268.90756302521,1058.23,378.36,296.39,102.845,39.34,31.155,19.570555555555572,7.8795555555555525,5.201777777777778,8,8,7,12,11,10
sc,sc,36,2495.7983193277314,1138.1799999999998,445.37,238.4,121.06000000000002,48.400000000000006,24.660000000000007,20.830336700336712,8.120454545454546,4.786515151515155,11,10,7,8,4,9
