participant,stitch_type,sequence_id,duration,yaw_range,pitch_range,roll_range,max_yaw_speed,max_pitch_speed,max_roll_speed,avg_yaw_speed,avg_pitch_speed,avg_roll_speed,yaw_direction_changes,pitch_direction_changes,roll_direction_changes,yaw_complexity,pitch_complexity,roll_complexity
P0_,ch,0,2193.27731092437,976.25,148.98,186.89,124.60000000000002,23.255000000000003,17.85,15.344731800766295,4.261206896551721,3.7876819923371663,10,17,5,8,8,8
P0_,ch,1,2252.1008403361348,936.5899999999999,133.36,239.2,114.99000000000001,19.075,22.279999999999994,15.046287313432842,3.9382649253731357,4.535335820895521,19,16,8,5,9,9
P0_,ch,2,2302.5210084033615,824.47,138.36,194.89,97.5,23.314999999999998,41.565,13.837919708029196,4.3954927007299265,4.187171532846716,14,20,16,9,10,7
P0_,ch,3,1949.5798319327732,810.79,183.9,122.19000000000001,183.285,19.745,26.090000000000003,11.637112068965523,4.571314655172412,3.3747198275862083,5,7,9,3,7,6
P0_,ch,4,3638.655462184874,751.9000000000001,125.61,123.53,90.515,23.865000000000002,41.29,10.46443418013857,3.049284064665128,3.239838337182446,19,29,24,15,9,7
P0_,ch,5,3226.8907563025214,702.94,133.66,176.94,165.405,16.665,37.66,12.69276041666668,2.9970963541666653,3.56421875,18,25,29,10,13,7
P0_,ch,6,2537.81512605042,1009.95,176.69,194.57999999999998,116.51499999999999,19.225,19.255000000000003,12.18109271523179,2.7968874172185427,3.9436423841059605,19,22,7,10,9,11
P0_,ch,7,2226.890756302521,728.03,146.91,172.36,69.30499999999999,26.0,19.989999999999995,11.144660377358486,3.801773584905659,4.184415094339619,10,17,9,10,7,9
P0_,ch,8,2218.4873949579833,706.55,148.98000000000002,145.69,44.49499999999999,17.729999999999997,13.675,8.543636363636361,3.2066098484848484,2.9098106060606055,18,14,15,8,10,10
P0_,ch,9,1831.9327731092437,552.43,161.99,128.18,46.72499999999998,16.354999999999997,23.925,9.87642201834862,4.271536697247708,2.953165137614678,5,3,10,7,8,6
P0_,ch,10,4411.764705882353,736.45,127.50999999999999,138.06,132.995,22.765,21.880000000000003,12.745409523809515,2.952542857142855,2.6133142857142877,27,31,24,15,14,16
P0_,ch,11,2075.6302521008406,715.3299999999999,168.46,133.73,48.645000000000024,15.84,23.744999999999994,10.624959514170046,3.2686032388663935,3.716497975708502,12,15,15,8,8,12
P0_,ch,12,5453.781512605042,699.77,152.89000000000001,137.09,68.76,19.255000000000003,22.884999999999998,11.210338983050857,3.2064098613251164,2.977550077041601,22,44,35,19,18,22
P0_,ch,13,4932.773109243698,663.8199999999999,216.19,197.82,98.78500000000001,18.74,34.394999999999996,8.97373083475298,3.0623679727427575,3.590374787052814,25,35,27,13,16,16
