participant,stitch_type,sequence_id,duration,yaw_range,pitch_range,roll_range,max_yaw_speed,max_pitch_speed,max_roll_speed,avg_yaw_speed,avg_pitch_speed,avg_roll_speed,yaw_direction_changes,pitch_direction_changes,roll_direction_changes,yaw_complexity,pitch_complexity,roll_complexity
user1_,ch,47,1092.4369747899161,728.9399999999999,341.43,211.67,81.14500000000001,75.775,17.669999999999998,14.936538461538467,10.083384615384617,4.868269230769232,5,4,5,5,3,5
user1_,ch,48,1025.2100840336134,579.59,351.87,201.9,54.17,49.685,22.005,12.663319672131154,9.693278688524591,5.551229508196722,4,6,6,3,3,5
user1_,ch,49,1084.0336134453783,671.75,349.12,207.45,82.09,48.400000000000006,17.125,13.671666666666665,8.380542635658918,5.9321705426356575,6,4,7,5,3,3
user1_,ch,50,1084.0336134453783,671.39,359.62,185.91000000000003,52.25,27.985,24.295,13.739573643410857,8.445891472868217,4.32395348837209,6,4,6,3,2,4
user1_,ch,51,974.7899159663866,751.89,457.88,186.71,55.97,36.285,24.875,16.292327586206895,10.982327586206901,5.9618965517241405,5,4,10,7,2,4
user1_,ch,52,1159.6638655462186,567.0799999999999,355.1,211.67000000000002,52.67499999999998,55.35999999999999,21.269999999999996,12.100688405797095,7.8546014492753615,6.097028985507245,4,4,6,6,2,4
user1_,ch,53,1134.453781512605,765.25,395.02,183.65,66.1,42.72500000000001,23.470000000000002,17.73737037037037,10.788518518518512,5.155037037037035,6,5,5,9,3,4
user1_,ch,54,1109.2436974789916,557.25,434.81000000000006,188.66,39.45999999999998,54.23,27.525000000000002,11.44571969696969,9.31215909090909,5.238030303030301,6,4,5,5,5,2
user1_,ch,55,1268.90756302521,715.0899999999999,374.64,243.71000000000004,150.32999999999998,89.75500000000001,33.11,15.048576158940397,10.331622516556292,6.24258278145695,7,5,9,5,5,3
user1_,ch,56,1394.9579831932774,577.7,287.84999999999997,138.06,54.81000000000001,32.93,14.065000000000001,10.649909638554217,6.337951807228913,3.8787951807228924,6,5,7,3,5,5
user1_,ch,57,1252.1008403361345,729.92,292.79,224.73000000000002,103.39000000000001,37.01499999999999,26.520000000000003,15.248926174496646,7.4036241610738305,5.401409395973154,4,5,9,6,4,8
user1_,ch,58,1243.6974789915967,818.72,346.62,237.48000000000002,104.36999999999999,37.44499999999999,15.320000000000007,15.032331081081074,7.880540540540536,5.024155405405405,5,7,10,6,7,4
user1_,ch,59,1218.4873949579833,593.2,389.53000000000003,213.32,46.90500000000001,30.700000000000003,29.049999999999997,12.671068965517232,9.144896551724141,5.392310344827586,6,7,7,4,3,3
user1_,ch,60,1361.3445378151262,784.4200000000001,507.26,215.76,82.03,86.64000000000001,36.775000000000006,14.043209876543198,10.18240740740741,6.276512345679014,5,8,14,6,5,6
user1_,ch,61,1352.9411764705883,573.36,327.64,175.60000000000002,57.065000000000005,42.97,23.589999999999996,11.403260869565216,7.24832298136646,4.47608695652174,5,7,12,5,2,4
user1_,ch,62,1142.857142857143,694.77,310.49,198.05,64.755,55.785000000000004,21.975,13.987352941176463,8.045183823529408,5.335073529411766,4,8,7,5,5,5
