participant,stitch_type,sequence_id,duration,yaw_range,pitch_range,roll_range,max_yaw_speed,max_pitch_speed,max_roll_speed,avg_yaw_speed,avg_pitch_speed,avg_roll_speed,yaw_direction_changes,pitch_direction_changes,roll_direction_changes,yaw_complexity,pitch_complexity,roll_complexity
P6_,sc,22,2537.81512605042,1153.6200000000001,393.06,302.79,113.985,49.620000000000005,32.5,21.674321192052986,10.264668874172186,8.007367549668874,11,10,12,7,11,9
P6_,sc,23,2722.6890756302523,933.2900000000001,413.82000000000005,270.63,95.035,58.80499999999999,53.98499999999999,18.32376543209877,8.268657407407412,5.955879629629624,15,9,11,8,7,7
P6_,sc,24,2630.2521008403364,1145.51,438.66,287.6,114.96,51.879999999999995,31.189999999999998,18.96746006389776,9.138322683706077,6.538162939297125,9,11,11,7,7,8
P6_,sc,25,2647.0588235294117,1031.13,304.26,245.05,91.98000000000002,46.144999999999996,33.904999999999994,19.087761904761905,8.965825396825396,6.0830476190476155,11,11,17,9,5,11
P6_,sc,26,2487.3949579831933,1098.63,399.53000000000003,228.03,194.12,58.255000000000024,40.375,18.492229729729722,9.611790540540538,6.301250000000001,9,8,15,3,7,6
P6_,sc,27,3042.016806722689,1009.9499999999999,317.32,204.47000000000003,110.16999999999999,74.95000000000002,34.03,16.06973756906077,7.698577348066301,5.198011049723756,20,14,23,12,8,8
P6_,sc,28,3722.6890756302523,1106.01,291.14,277.15999999999997,93.35000000000002,33.385,33.05,15.584153498871322,6.747528216704284,5.5064898419864505,8,2,16,10,10,12
P6_,sc,29,2899.1596638655465,984.3199999999999,361.27,235.41000000000003,82.275,40.16,39.184999999999995,18.315304347826086,8.25459420289855,6.217115942028986,13,7,18,8,8,8
P6_,sc,30,2403.361344537815,1112.43,391.36,278.14,145.51,45.86500000000001,39.519999999999996,20.326678321678322,10.15253496503497,7.971206293706294,5,5,19,8,7,9
P6_,sc,31,2470.5882352941176,1109.44,325.38,235.72000000000003,62.254999999999995,43.67,27.25,17.984268707482986,8.31154761904762,5.6846768707482935,5,9,7,8,8,9
P6_,sc,32,2252.1008403361348,1026.73,437.13,232.06,107.06000000000002,63.019999999999996,38.21000000000001,19.71296641791043,10.137630597014915,6.378451492537315,6,4,15,10,6,10
P6_,sc,33,3352.9411764705883,1067.02,421.63,240.06,125.64,64.21,44.585,18.896716791979948,8.882017543859646,5.961979949874689,21,17,24,14,14,11
P6_,sc,34,2445.378151260504,1174.25,401.24,254.95,99.67000000000002,47.915000000000006,28.779999999999998,22.69692439862542,9.111357388316154,7.0322852233676985,14,8,18,10,9,8
P6_,sc,35,2327.731092436975,1052.8600000000001,399.96999999999997,203.31,99.03,61.31,27.25,18.93543321299639,9.4497833935018,6.6578880866426,5,5,16,9,6,7
P6_,sc,36,2823.529411764706,1269.83,373.96000000000004,307.55,144.95499999999998,54.565,39.39999999999999,24.50306547619048,9.002291666666665,7.835208333333334,17,14,18,10,13,8
P6_,sc,37,3100.840336134454,944.5799999999999,376.46,218.38,80.75000000000001,45.96000000000001,31.68,17.781531165311662,8.216219512195115,6.485894308943084,12,6,15,9,6,10
P6_,sc,38,2352.9411764705883,1010.0,365.47999999999996,242.30999999999997,79.16500000000002,46.724999999999994,53.03999999999999,18.327374999999996,9.726749999999996,7.01944642857143,8,6,17,7,10,9
P6_,sc,39,2588.2352941176473,902.59,296.21,228.32999999999998,76.995,40.71000000000001,45.349999999999994,18.485129870129867,7.842743506493504,6.289545454545455,12,11,12,3,8,9
P6_,dc,40,3756.3025210084033,1279.54,422.36,346.07,133.48000000000002,75.47,68.85,23.525324384787464,10.493512304250558,9.470592841163317,23,26,28,11,10,14
P6_,dc,41,4369.7478991596645,1439.0900000000001,610.59,327.39,131.715,132.84,54.195,23.08912499999997,11.835461538461539,7.363365384615378,24,26,30,14,10,18
P6_,dc,42,4605.042016806723,1151.25,468.08,316.4,130.28000000000003,90.51499999999999,53.65,19.69175182481754,9.365784671532845,8.04290145985402,22,18,24,17,14,14
P6_,dc,43,5529.411764705883,1170.1599999999999,456.78999999999996,357.66999999999996,114.225,86.21499999999999,74.27499999999999,19.03823708206687,9.927310030395128,6.775676291793311,37,53,42,23,15,13
P6_,dc,44,4529.411764705883,1181.6399999999999,412.84000000000003,331.85,145.995,62.80500000000001,49.62,19.63904452690167,10.06940630797774,6.268070500927643,24,33,24,17,13,17
P6_,dc,45,5378.151260504202,1114.9899999999998,420.9,292.65999999999997,121.73499999999996,47.150000000000006,53.955,16.324695312500012,8.441773437499991,5.914328125000006,30,24,31,17,22,17
P6_,dc,46,6075.63025210084,1090.33,493.65000000000003,402.22,104.185,63.905,59.019999999999996,17.73191562932228,9.51992392807746,6.7001383125864376,33,40,38,21,18,25
P6_,dc,47,7974.789915966387,1158.2,449.71000000000004,376.71,97.35000000000001,80.505,71.655,15.997260273972625,7.956301369863024,6.016759747102217,33,52,17,25,22,23
P6_,dc,48,5117.64705882353,1220.4,445.8,331.61,151.095,65.765,50.14,18.470714285714273,8.817463054187195,7.015377668308703,26,41,41,15,17,18
