participant,stitch_type,count,avg_duration,std_duration,avg_yaw_range,std_yaw_range,avg_pitch_range,std_pitch_range,avg_roll_range,std_roll_range,avg_max_yaw_speed,std_max_yaw_speed,avg_max_pitch_speed,std_max_pitch_speed,avg_max_roll_speed,std_max_roll_speed,avg_yaw_speed,std_yaw_speed,avg_pitch_speed,std_pitch_speed,avg_roll_speed,std_roll_speed,avg_yaw_changes,std_yaw_changes,avg_pitch_changes,std_pitch_changes,avg_roll_changes,std_roll_changes,avg_yaw_complexity,std_yaw_complexity,avg_pitch_complexity,std_pitch_complexity,avg_roll_complexity,std_roll_complexity
dc,overall,780,3397.446670976083,2659.8403481238006,842.0242179487178,259.2994233561848,359.3478205128205,143.47984679753708,227.2791794871795,72.959929141635,102.28485256410256,48.96530208897072,48.54745512820513,25.40283940755315,33.72923717948718,15.481036141908564,16.30675256087739,5.520563295410566,7.804723901026605,2.9362089425994244,5.2988798523252125,1.4968645256288287,17.087179487179487,17.292953648548917,17.253846153846155,19.848649713859906,19.98205128205128,18.765412425112046,11.543589743589743,8.916530165409862,10.643589743589743,8.957944328969702,11.488461538461538,8.976100472054563
dc,dc,260,5376.987718164189,2743.6910453187675,1011.6726923076922,219.12728787269694,441.0647307692308,127.60838134520358,282.1287307692308,54.71371825873969,127.78888461538462,46.268474812211224,61.295019230769235,25.75783497119811,43.04992307692307,15.342735928227194,18.09498380437682,5.222759083175888,8.822816131832692,2.7174367175754375,5.816069486060112,1.2958862813946337,26.384615384615383,20.480341273968673,25.442307692307693,24.33817313599427,29.74230769230769,21.856149866393405,18.253846153846155,9.082791453717078,16.74230769230769,9.663120736432093,17.79230769230769,9.367452780646035
dc,ch,260,1189.4957983193276,636.8643337857209,658.1785384615384,182.6395092761507,288.9601153846154,141.30663431668648,169.1401153846154,60.377144105789746,72.48476923076923,33.514108776187534,37.820884615384614,20.86379602570134,24.58405769230769,11.245660102069907,15.284056540436362,5.041096798563175,7.6052210017029305,3.126369003714116,5.17078392734568,1.5950482564661843,6.446153846153846,4.226403341743496,6.546153846153846,5.304006524043932,7.423076923076923,4.7561545304121235,4.126923076923077,2.5771268576142474,3.6923076923076925,2.5715788441110043,4.361538461538461,2.703285312224727
dc,sc,260,3625.8564964447314,2108.320288469562,856.2214230769231,239.902511173998,348.0186153846154,117.24974232711622,230.56869230769232,54.13888011243308,106.58090384615386,48.70193531388334,46.52646153846153,23.569144708431452,33.55373076923077,13.659528807217587,15.54121733781898,5.823252151017199,6.986134569544191,2.637976821639613,4.909786143569846,1.4363225376158457,18.43076923076923,16.073359929034254,19.773076923076925,19.322924959593532,22.78076923076923,17.183903900291046,12.25,6.988658394416353,11.496153846153845,7.382671018062958,12.311538461538461,7.446156826127821
