-25.76	13.85	-6.29
-25.76	13.85	-6.29
-30.52	8.54	-6.90
-31.62	3.17	-9.03
-29.24	0.06	-11.78
-17.82	0.85	-8.97
-10.86	4.33	-5.25
-4.21	8.24	-2.62
1.46	11.66	-1.34
5.31	14.47	-1.89
5.31	17.15	-4.58
-0.31	20.02	-8.00
-10.74	22.64	-9.52
-21.48	24.96	-7.93
-27.53	27.77	-5.07
-26.61	31.92	-3.66
-20.57	36.99	-4.82
-13.12	39.25	-6.71
0.12	29.17	-3.60
5.00	25.27	-2.26
13.00	32.35	-9.77
28.75	51.82	-20.63
44.19	65.80	-24.60
63.54	83.13	-27.22
86.18	104.92	-28.38
112.06	131.65	-28.02
172.49	193.48	-21.18
206.97	219.06	-15.38
242.80	236.76	-9.70
275.57	249.08	-4.52
304.02	259.95	0.79
333.37	269.17	5.37
375.49	260.62	-2.38
290.16	196.59	-32.04
107.67	109.68	-16.24
7.63	80.57	11.90
-78.74	51.15	37.54
-135.80	20.39	49.56
-161.56	-6.47	48.77
-209.41	-48.83	54.57
-264.10	-71.11	72.63
-327.94	-96.86	99.55
-386.47	-120.54	128.11
-431.34	-137.27	149.96
-458.25	-146.79	161.32
-467.77	-150.88	164.00
-464.72	-150.63	162.17
-455.08	-146.79	158.75
-438.23	-140.75	153.99
-370.12	-129.39	134.03
-298.16	-122.99	111.15
-260.74	-103.94	98.33
-135.25	-61.28	45.72
-8.24	-28.56	2.56
97.66	-25.70	-8.73
159.30	-20.63	-18.19
217.77	-1.59	-33.02
266.78	29.54	-49.62
314.88	64.76	-65.73
362.37	93.87	-79.71
397.95	109.99	-90.15
410.64	114.32	-95.28
401.06	113.16	-94.60
380.31	112.55	-90.03
355.53	117.37	-83.50
332.15	130.13	-76.48
320.92	150.15	-70.98
329.89	173.16	-69.46
357.67	192.75	-72.27
396.79	205.81	-78.00
429.87	215.39	-84.59
441.04	217.71	-90.82
436.22	203.86	-94.73
418.09	183.23	-91.86
362.24	168.40	-78.49
280.94	154.17	-54.08
212.77	130.37	-23.07
158.51	95.95	6.10
93.38	56.34	25.88
6.84	18.37	36.44
-83.92	-11.66	44.25
-163.88	-35.58	57.98
-232.48	-61.28	80.81
-292.11	-90.82	107.42
-340.52	-118.29	128.85
-378.30	-137.27	138.67
-409.12	-148.74	136.84
-432.62	-157.53	129.21
-449.83	-165.34	123.05
-462.22	-170.59	122.07
-466.00	-172.55	125.67
-447.08	-171.57	133.73
-427.37	-167.42	131.90
-397.16	-159.85	124.88
-351.32	-150.15	114.44
-294.74	-140.32	103.70
-249.21	-131.65	95.03
-229.61	-123.05	88.07
-226.07	-113.10	81.54
-223.21	-102.11	75.01
-217.53	-92.10	68.85
-210.33	-85.75	62.44
-203.37	-83.25	54.69
-199.34	-83.92	47.49
-199.71	-86.91	44.49
-201.17	-89.78	46.39
-193.60	-89.42	50.66
-168.27	-83.44	53.34
-131.29	-71.11	52.31
-98.57	-55.79	47.67
-64.82	-42.66	37.11
-50.54	-51.39	33.45
-14.47	-47.79	26.18
20.39	-41.75	18.74
52.12	-34.12	11.41
74.16	-26.31	6.23
92.96	-20.20	2.75
113.95	-16.78	-0.67
138.92	-14.95	-4.76
169.07	-13.37	-9.83
203.80	-11.17	-15.99
236.51	-7.57	-22.40
257.45	-1.40	-26.86
265.62	8.00	-26.73
270.94	20.14	-21.79
279.24	32.10	-14.22
286.25	41.26	-6.47
286.01	47.00	0.49
275.45	51.51	6.16
254.09	58.41	8.73
200.50	83.68	4.09
135.50	68.12	8.97
35.34	42.18	19.35
-6.23	42.42	18.49
-31.19	42.54	15.01
-40.34	38.70	8.36
-42.85	33.26	-1.34
-30.03	27.59	-11.72
0.79	20.81	-18.31
30.03	14.65	-19.65
46.45	11.29	-18.13
50.54	6.16	-14.16
42.72	-3.60	-8.12
25.02	-12.63	-3.05
3.05	-15.62	-0.98
-18.86	-13.37	-0.61
-37.05	-10.38	0.37
-48.34	-10.44	3.23
-46.08	-15.69	10.50
-11.66	-7.08	6.10
21.48	17.09	-0.61
34.36	27.77	-4.46
43.58	30.70	-9.09
46.39	23.01	-12.27
41.02	6.84	-12.15
28.32	-12.08	-8.06
12.94	-26.86	-1.40
0.67	-32.41	4.27
-6.29	-28.08	6.10
-7.69	-16.97	3.42
-4.88	-4.76	-1.28
-1.40	3.11	-4.39
0.49	3.54	-5.98
0.92	-2.75	-8.54
-3.11	-17.21	-14.77
-7.63	-19.84	-15.93
-12.08	-20.08	-16.54
-15.75	-18.92	-17.94
-17.94	-17.40	-20.02
-18.31	-15.50	-20.08
-18.68	-14.95	-17.94
-18.13	-14.71	-16.05
-14.65	-13.98	-15.01
-6.23	-11.72	-15.26
7.45	-7.81	-17.76
25.02	-3.72	-23.01
43.64	-0.92	-29.85
59.63	-0.31	-35.52
72.57	-0.79	-39.25
84.96	2.69	-43.70
93.02	16.54	-45.29
93.08	34.18	-36.74
92.04	40.65	-21.79
98.21	34.79	-11.54
113.89	26.67	-11.66
133.24	23.68	-19.84
146.67	27.04	-29.36
152.04	34.06	-34.12
154.24	44.07	-31.25
157.78	60.06	-20.20
163.21	80.63	-3.54
168.70	98.27	11.60
179.38	107.12	16.78
201.11	107.85	9.03
230.29	106.14	-6.84
262.45	107.24	-22.46
299.19	112.85	-31.62
336.98	122.01	-32.59
364.69	131.90	-28.14
376.34	138.49	-23.01
372.99	138.61	-19.29
354.55	132.20	-15.38
317.38	123.17	-8.97
263.37	116.21	-0.79
200.44	108.03	9.70
162.29	95.76	23.13
155.88	86.00	36.56
145.32	84.59	46.39
127.08	86.98	50.90
119.14	83.80	50.66
112.79	71.04	46.08
83.44	52.31	39.12
31.98	33.51	33.08
-26.43	15.14	30.64
-84.90	-4.64	33.14
-147.03	-25.51	41.02
-216.98	-44.43	54.14
-291.32	-59.88	72.14
-358.03	-74.22	93.08
-436.52	-105.83	129.03
-465.39	-132.14	136.84
-496.89	-150.27	130.31
-499.63	-162.66	135.93
-477.78	-159.91	139.34
-432.92	-147.16	134.16
-369.81	-127.20	118.41
-297.36	-105.90	96.31
-224.91	-88.13	72.88
-162.60	-75.99	50.84
-115.66	-68.85	31.74
-87.28	-65.12	18.07
-80.20	-62.68	13.00
-93.75	-60.24	17.46
-119.81	-57.74	28.14
-143.19	-55.73	38.51
-152.22	-54.38	43.46
-145.45	-52.86	41.81
-128.48	-50.66	35.34
-107.06	-47.79	27.22
-85.14	-44.62	20.45
-67.87	-42.24	16.66
