-18.13	-14.59	10.01
-15.08	-13.37	7.45
-12.15	-11.35	5.43
-9.89	-8.79	3.85
-9.77	-8.00	3.05
-12.57	-10.01	3.60
-16.97	-13.12	4.88
-21.06	-14.95	6.16
-24.48	-15.50	7.75
-26.61	-16.97	10.13
-26.92	-20.51	12.88
-25.21	-24.66	15.14
-18.43	-27.83	16.72
-26.92	-26.86	17.03
-39.79	-29.54	19.47
-55.79	-35.16	22.83
-71.41	-43.33	26.92
-82.64	-52.12	30.52
-87.04	-58.90	32.10
-80.20	-60.97	28.50
-75.01	-56.46	25.70
-75.32	-50.66	23.86
-85.82	-48.58	24.60
-103.39	-54.02	27.71
-121.52	-65.55	31.13
-136.23	-78.86	33.87
-145.02	-90.52	35.77
-146.18	-98.63	35.40
-140.62	-103.45	31.31
-134.22	-107.54	25.15
-147.40	-121.95	19.90
-164.31	-131.29	22.40
-176.76	-138.61	24.84
-180.66	-140.75	24.41
-176.82	-136.47	21.67
-168.33	-127.32	19.17
-156.68	-116.94	18.62
-141.72	-106.75	17.88
-122.44	-95.76	12.21
-98.94	-83.68	0.67
-75.32	-70.31	-11.66
-55.24	-55.30	-21.67
-39.12	-38.51	-31.37
-26.67	-19.78	-42.24
-15.93	0.24	-53.28
-4.21	19.53	-63.54
9.16	36.32	-70.31
83.98	89.54	-64.39
126.16	122.31	-61.65
148.56	142.58	-59.88
173.52	168.82	-62.01
198.00	194.70	-67.81
216.49	206.12	-72.14
224.85	195.68	-71.53
224.79	172.85	-68.05
222.05	152.65	-63.90
217.65	140.56	-55.30
179.63	125.24	-7.32
113.46	100.52	46.69
88.07	76.29	63.23
65.00	47.18	76.66
41.99	23.13	90.15
3.66	-1.59	100.40
-27.22	-15.14	80.87
-38.15	-11.54	80.87
-46.14	-8.85	83.07
-55.42	-12.08	81.36
-77.70	-21.42	73.24
-102.78	-30.52	65.49
-108.34	-35.89	67.38
-98.14	-39.55	75.20
-85.69	-41.93	79.83
-71.78	-42.48	82.28
