0.24	-2.56	4.58
-2.44	-3.91	6.71
-2.62	-4.09	9.09
-0.79	-3.97	10.86
-7.20	-11.29	14.16
-11.90	-16.48	16.17
-15.93	-21.79	18.86
-18.13	-26.79	22.22
-17.03	-31.74	25.76
-12.94	-37.96	29.48
-4.03	-61.89	40.41
-4.70	-81.73	48.65
-11.17	-105.96	57.80
-23.86	-131.04	65.37
-44.07	-152.53	67.81
-72.02	-167.85	62.93
-103.64	-177.37	51.21
-133.30	-183.35	35.58
-157.59	-188.35	20.51
-175.84	-192.81	8.24
-188.54	-190.86	-14.40
-181.09	-181.34	-25.88
-167.18	-166.93	-35.46
-149.11	-149.41	-41.69
-107.06	-114.20	-47.12
-88.62	-99.06	-50.60
-73.55	-85.88	-55.54
-60.79	-73.67	-60.97
-47.55	-60.36	-65.98
-31.80	-44.19	-70.62
-14.65	-25.21	-74.65
1.46	-4.39	-77.15
13.67	16.30	-77.58
20.32	36.07	-77.15
22.71	56.52	-78.86
23.74	78.86	-84.05
27.59	102.36	-91.06
36.32	126.77	-96.80
47.97	153.08	-99.98
60.85	180.97	-101.01
82.82	228.94	-92.41
104.31	239.69	-69.64
193.66	161.01	-24.90
189.45	136.96	0.18
175.35	118.84	20.39
161.19	103.82	30.09
142.64	89.23	33.94
84.17	53.77	45.10
31.62	21.79	56.76
-12.45	-19.23	63.23
-23.62	-33.69	66.83
-30.70	-46.02	70.98
-33.63	-54.20	73.36
-36.07	-59.14	71.78
-40.47	-62.68	65.55
-48.03	-65.73	56.46
-61.65	-69.58	47.91
-79.65	-76.23	43.52
-97.84	-85.82	46.39
-116.03	-101.68	59.39
-132.81	-127.32	80.63
-144.71	-156.19	105.10
-117.43	-128.54	71.59
-114.87	-117.43	52.00
-126.59	-117.55	39.98
-145.45	-127.50	33.57
-160.64	-140.81	29.79
-166.26	-151.00	27.28
-140.50	-152.04	19.10
-109.92	-143.25	12.02
-76.90	-129.58	5.62
-53.83	-113.71	1.77
-49.26	-100.28	0.61
-57.86	-92.71	-0.49
-67.93	-91.61	-5.31
-73.36	-95.64	-14.34
-71.66	-103.45	-23.01
-54.81	-107.73	-27.28
-40.83	-96.44	-25.39
-29.72	-79.71	-23.32
-26.73	-64.88	-21.55
-28.75	-55.42	-18.92
-28.02	-47.73	-16.05
-20.08	-39.12	-14.95
0.43	-27.40	-12.33
4.64	-26.06	-4.39
-0.43	-24.78	0.49
-6.77	-23.50	4.64
-9.52	-22.16	5.31
-8.00	-20.02	0.73
-6.23	-18.01	-7.32
-8.06	-17.88	-14.16
-13.00	-19.59	-16.54
-17.76	-20.94	-15.32
-21.24	-20.08	-12.02
-24.35	-17.46	-6.96
-26.00	-14.53	-2.26
-24.60	-13.49	-0.61
-22.03	-15.26	-1.71
-21.48	-17.82	-4.03
-24.17	-19.84	-6.71
-28.99	-22.46	-9.03
-33.69	-26.43	-10.50
-35.16	-30.09	-11.66
-33.63	-31.25	-12.02
-33.81	-28.02	-8.42
-36.25	-25.02	-7.81
-39.61	-22.40	-8.24
-43.76	-21.00	-7.63
-45.41	-20.14	-5.68
-41.75	-18.49	-4.03
-34.91	-15.93	-2.56
-28.50	-13.24	-0.79
-25.76	-10.56	0.31
-27.34	-8.54	0.06
-29.66	-8.06	-0.98
-30.03	-9.52	-2.44
-29.85	-13.61	-3.66
-30.58	-19.04	-4.33
-32.17	-23.44	-4.09
-33.45	-26.00	-3.17
-33.87	-26.86	-2.32
-37.17	-25.33	-1.22
-41.63	-25.33	-0.49
-44.80	-26.55	-0.18
-43.70	-28.69	-0.49
-40.10	-31.07	-1.34
-38.51	-33.63	-2.26
-41.20	-36.38	-2.14
-46.26	-38.82	-0.61
-50.66	-40.04	0.73
-52.98	-39.98	0.37
-54.08	-39.92	-1.89
-55.48	-41.50	-4.70
-56.64	-44.43	-7.08
-55.66	-46.63	-9.22
-51.88	-46.87	-11.17
-45.47	-45.72	-13.00
-37.78	-43.52	-13.98
-29.54	-39.18	-13.73
-20.20	-32.10	-13.67
-12.02	-22.77	-14.47
-6.65	-11.72	-15.62
0.12	0.43	-16.36
13.79	12.39	-16.36
34.55	23.13	-16.05
57.19	32.65	-15.87
75.13	40.77	-15.93
84.66	46.08	-16.17
87.89	48.46	-17.94
94.30	50.29	-26.61
109.44	60.55	-39.37
120.91	79.65	-37.78
126.10	89.23	-24.48
136.72	82.40	-25.39
147.09	71.29	-41.99
141.78	69.21	-58.41
143.49	78.49	-51.70
196.90	108.83	-36.13
248.29	146.24	-26.49
269.71	168.64	-23.62
304.20	188.29	-23.68
342.90	193.42	-24.17
370.36	182.50	-22.22
371.95	162.78	-17.94
345.64	141.05	-13.92
298.89	120.06	-9.95
239.81	99.43	-3.05
126.59	56.70	16.42
31.43	22.09	40.77
19.35	21.24	44.92
-11.84	15.01	52.67
-23.01	7.63	55.11
-30.27	0.98	54.26
-38.70	-4.33	52.12
-50.84	-9.46	51.88
-70.13	-15.44	55.42
-100.95	-22.77	61.89
-140.44	-30.88	68.05
-179.14	-39.12	70.62
-209.53	-47.79	68.85
-234.07	-56.95	66.41
-260.31	-66.16	69.21
-287.48	-74.95	76.90
-304.93	-83.25	83.13
-310.97	-90.45	83.31
-315.86	-97.23	79.22
-324.89	-104.74	75.13
-336.67	-112.49	74.16
-347.23	-118.23	78.67
-348.69	-120.36	88.62
-337.83	-119.26	100.28
-312.32	-117.49	107.06
-240.60	-118.29	93.20
-225.40	-115.84	81.85
-218.38	-108.70	74.83
-205.93	-98.08	72.75
-182.86	-86.24	73.06
-154.72	-74.65	73.06
-127.14	-64.76	70.56
-102.23	-58.29	64.15
-80.93	-55.73	54.75
-62.13	-54.26	44.25
-44.80	-50.42	34.24
-30.33	-44.43	26.06
-20.63	-38.76	22.09
-12.70	-34.36	24.17
-0.18	-31.07	29.79
15.93	-28.56	33.26
33.87	-23.13	30.15
35.64	-19.71	26.67
43.21	-16.54	22.28
59.08	-14.22	17.58
77.82	-12.39	13.43
94.67	-10.31	10.44
108.89	-5.80	8.73
121.40	3.17	8.42
129.82	15.69	9.16
131.47	25.27	7.93
131.35	26.00	2.62
137.76	20.08	-4.03
153.87	15.01	-7.51
192.08	21.61	1.10
196.90	31.98	8.42
188.84	44.62	12.45
206.60	55.97	-2.08
217.04	55.24	-10.68
213.13	54.44	-14.53
201.54	53.34	-16.54
187.07	51.21	-18.49
172.55	49.07	-19.90
163.27	48.16	-21.61
162.96	51.15	-24.66
167.79	61.65	-28.69
173.28	78.12	-34.24
181.64	96.07	-45.04
199.65	113.89	-62.50
226.99	129.58	-82.09
251.95	139.77	-97.05
257.20	141.78	-102.97
238.10	137.02	-100.22
217.04	134.40	-90.15
208.19	142.46	-73.00
206.48	158.45	-52.00
208.62	171.63	-30.46
209.96	172.36	-7.02
214.29	162.35	17.52
227.17	153.14	36.32
237.98	148.50	46.02
236.15	141.24	48.28
220.52	127.01	46.63
191.53	110.53	44.13
153.44	99.24	40.34
109.68	90.39	36.01
62.68	74.95	34.24
-32.71	29.97	41.81
-123.72	-5.37	49.93
-172.79	-23.19	49.99
-229.06	-44.56	50.29
-284.67	-65.25	52.49
-328.86	-79.83	54.99
-357.48	-88.50	55.66
-379.88	-101.81	55.11
-370.97	-107.67	57.25
-360.84	-111.51	60.42
-356.26	-113.53	62.99
-355.29	-116.03	64.94
-348.63	-121.58	70.80
-338.20	-120.73	74.71
-320.37	-116.33	78.19
-299.26	-109.13	80.26
-283.26	-102.23	81.73
-265.14	-94.24	86.30
-242.74	-89.66	86.00
-210.27	-83.74	82.28
-173.65	-76.97	76.97
-140.69	-70.86	72.33
-118.77	-65.98	68.66
-100.52	-51.39	57.07
-96.13	-43.27	48.83
-88.44	-38.82	39.92
-75.93	-37.90	30.70
-61.65	-37.11	28.93
-45.04	-32.29	38.15
-24.78	-24.72	48.58
-3.78	-19.29	52.06
13.12	-17.46	48.77
22.34	-17.15	41.20
23.93	-16.66	33.08
25.45	-16.11	26.79
33.02	-16.85	25.82
43.58	-16.97	23.38
53.53	-15.87	19.84
61.40	-14.22	16.54
68.05	-12.08	14.22
74.40	-9.22	12.33
80.51	-5.80	10.01
83.68	-2.32	7.08
83.50	1.40	4.21
85.94	6.47	2.01
96.01	13.79	-2.44
106.20	20.08	-15.08
109.31	20.57	-29.66
120.12	23.32	-14.40
132.63	34.73	3.23
133.97	32.90	4.15
139.95	29.17	4.52
154.79	27.77	4.70
177.92	29.17	4.94
207.76	32.53	6.35
242.31	37.35	8.97
278.26	42.85	11.11
308.11	48.22	11.29
317.50	50.84	9.28
296.75	49.99	6.84
263.00	49.62	4.15
245.18	52.43	-1.10
247.68	56.46	-8.61
253.91	57.01	-16.05
250.92	51.64	-23.38
239.87	43.21	-32.84
228.27	36.13	-44.68
219.60	31.92	-53.96
203.12	29.72	-55.79
173.89	30.64	-54.20
143.43	38.09	-53.22
117.86	51.94	-51.94
102.11	67.87	-53.71
97.90	84.66	-58.35
105.10	106.45	-55.73
130.31	135.01	-45.35
169.31	163.64	-38.82
205.08	184.20	-39.98
228.82	203.37	-33.94
228.39	211.36	-28.63
215.21	211.79	-26.25
190.61	196.41	-9.83
160.28	164.98	17.03
129.21	128.48	40.59
96.98	99.79	53.22
60.42	83.01	55.91
15.56	71.59	54.14
-39.00	56.76	53.96
-95.83	35.83	58.65
-144.41	13.49	66.89
-183.41	-5.62	75.93
-218.93	-21.36	83.74
-257.87	-37.05	89.48
-302.73	-56.34	92.96
-348.75	-79.22	94.48
-388.12	-102.23	93.93
-418.33	-121.95	92.41
-439.64	-137.33	92.53
-454.83	-148.74	96.74
-469.67	-156.19	106.20
-477.78	-159.55	116.94
-451.78	-157.96	118.84
-432.50	-154.30	113.89
-406.31	-148.38	110.11
-372.07	-141.97	106.87
-334.17	-135.68	104.00
-298.40	-127.32	101.93
-269.41	-115.30	100.95
-242.49	-99.91	99.73
-212.40	-83.31	96.01
-180.48	-68.48	89.29
-150.09	-57.80	80.93
-123.60	-52.19	72.33
-97.60	-50.54	65.98
-75.26	-49.93	64.27
-69.64	-45.04	55.79
-67.93	-42.60	47.00
-61.71	-39.86	40.10
-54.75	-36.93	34.55
-47.06	-34.55	28.38
-38.02	-32.29	23.19
-30.09	-28.20	25.15
-23.62	-22.58	34.30
-14.04	-18.74	42.91
1.34	-18.74	45.47
18.68	-20.69	43.33
34.24	-21.18	38.45
44.80	-18.55	31.80
48.46	-13.85	25.57
48.22	-9.77	21.55
49.74	-7.57	19.29
54.20	-6.90	17.70
59.02	-6.47	16.91
63.11	-6.16	17.27
67.14	-6.41	18.80
72.57	-7.08	20.02
85.88	-6.65	16.91
95.46	0.67	11.35
97.29	4.76	4.27
96.19	8.42	-7.63
103.64	8.85	1.83
114.01	9.46	11.90
119.20	9.83	15.14
115.91	10.50	13.24
106.14	12.94	10.44
97.35	27.71	8.24
113.40	40.41	6.84
139.77	52.61	3.17
168.76	59.51	-3.91
197.75	59.81	-14.77
223.27	57.07	-28.81
238.71	56.15	-43.27
242.07	59.45	-55.36
239.93	65.80	-64.21
